"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Create course","LMS service","2026-08-18","passed","2026-08-18","Create entity","Courses","",""
"","295","Get courses","LMS service","2026-08-18","passed","2026-08-18","Get entities","Courses","",""
"","566","Login with correct email and password","LMS service","2026-08-18","passed","2026-08-18","Login","Authentication","",""
"","329","Update course","LMS service","2026-08-18","passed","2026-08-18","Update entity","Courses","",""
"","12","Get file","LMS service","2026-08-18","passed","2026-08-18","Get entity","Files","",""
"","311","Get file with incorrect file id","LMS service","2026-08-18","passed","2026-08-18","Validate entity","Files","",""
"","17","Create exercise","LMS service","2026-08-18","passed","2026-08-18","Create entity","Exercises","",""
"","14","Create file with empty filename","LMS service","2026-08-18","passed","2026-08-18","Validate entity","Files","",""
"","18","Create file with empty directory","LMS service","2026-08-18","passed","2026-08-18","Validate entity","Files","",""
"","21","Delete file","LMS service","2026-08-18","passed","2026-08-18","Delete entity","Files","",""
"","17","Get exercise","LMS service","2026-08-18","passed","2026-08-18","Get entity","Exercises","",""
"","13","Get exercises","LMS service","2026-08-18","passed","2026-08-18","Get entities","Exercises","",""
"","132","Create file","LMS service","2026-08-18","passed","2026-08-18","Create entity","Files","",""
"","11","Get user me","LMS service","2026-08-18","passed","2026-08-18","Get entity","Users","",""
"","23","Update exercise","LMS service","2026-08-18","passed","2026-08-18","Update entity","Exercises","",""
"","568","Create user","LMS service","2026-08-18","passed","2026-08-18","Create entity","Users","",""
"","696","Create user","LMS service","2026-08-18","passed","2026-08-18","Create entity","Users","",""
"","366","Create user","LMS service","2026-08-18","passed","2026-08-18","Create entity","Users","",""
"","49","Delete exercise","LMS service","2026-08-18","passed","2026-08-18","Delete entity","Exercises","",""
