"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","230","Create file with empty directory","LMS service","Wed Aug 19 10:05:38 UTC 2026","passed","Wed Aug 19 10:05:38 UTC 2026","Validate entity","Files","",""
"","251","Create user","LMS service","Wed Aug 19 10:05:39 UTC 2026","passed","Wed Aug 19 10:05:39 UTC 2026","Create entity","Users","",""
"","12","Create file with empty filename","LMS service","Wed Aug 19 10:05:37 UTC 2026","passed","Wed Aug 19 10:05:37 UTC 2026","Validate entity","Files","",""
"","13","Create file","LMS service","Wed Aug 19 10:05:36 UTC 2026","passed","Wed Aug 19 10:05:36 UTC 2026","Create entity","Files","",""
"","9","Get user me","LMS service","Wed Aug 19 10:05:40 UTC 2026","passed","Wed Aug 19 10:05:40 UTC 2026","Get entity","Users","",""
"","259","Get courses","LMS service","Wed Aug 19 10:05:33 UTC 2026","passed","Wed Aug 19 10:05:33 UTC 2026","Get entities","Courses","",""
"","256","Delete file","LMS service","Wed Aug 19 10:05:38 UTC 2026","passed","Wed Aug 19 10:05:38 UTC 2026","Delete entity","Files","",""
"","486","Create user","LMS service","Wed Aug 19 10:05:39 UTC 2026","passed","Wed Aug 19 10:05:39 UTC 2026","Create entity","Users","",""
"","13","Get exercise","LMS service","Wed Aug 19 10:05:35 UTC 2026","passed","Wed Aug 19 10:05:35 UTC 2026","Get entity","Exercises","",""
"","255","Delete exercise","LMS service","Wed Aug 19 10:05:35 UTC 2026","passed","Wed Aug 19 10:05:35 UTC 2026","Delete entity","Exercises","",""
"","475","Login with correct email and password","LMS service","Wed Aug 19 10:05:31 UTC 2026","passed","Wed Aug 19 10:05:32 UTC 2026","Login","Authentication","",""
"","25","Create course","LMS service","Wed Aug 19 10:05:33 UTC 2026","passed","Wed Aug 19 10:05:33 UTC 2026","Create entity","Courses","",""
"","12","Get exercises","LMS service","Wed Aug 19 10:05:36 UTC 2026","passed","Wed Aug 19 10:05:36 UTC 2026","Get entities","Exercises","",""
"","19","Create exercise","LMS service","Wed Aug 19 10:05:34 UTC 2026","passed","Wed Aug 19 10:05:34 UTC 2026","Create entity","Exercises","",""
"","11","Get file","LMS service","Wed Aug 19 10:05:37 UTC 2026","passed","Wed Aug 19 10:05:37 UTC 2026","Get entity","Files","",""
"","24","Update course","LMS service","Wed Aug 19 10:05:32 UTC 2026","passed","Wed Aug 19 10:05:32 UTC 2026","Update entity","Courses","",""
"","484","Create user","LMS service","Wed Aug 19 10:05:38 UTC 2026","passed","Wed Aug 19 10:05:39 UTC 2026","Create entity","Users","",""
"","239","Get file with incorrect file id","LMS service","Wed Aug 19 10:05:39 UTC 2026","passed","Wed Aug 19 10:05:39 UTC 2026","Validate entity","Files","",""
"","13","Update exercise","LMS service","Wed Aug 19 10:05:34 UTC 2026","passed","Wed Aug 19 10:05:34 UTC 2026","Update entity","Exercises","",""
